"Team","Home","Accuracy","Intensity","Diameter","Reciprocity","MANN","Q3HUB"
"Juventus","H",0.849740932642487,25,4,0.730769230769231,16.8153846153846,0.767685405305562
"Real Madrid","A",0.909774436090226,31,7,0.78,17.0982142857143,0.806246531489406
