Id;Cosa vorresti fare dopo il diploma? (max 200 caratteri);Tipo
62;Dopo il diploma, vorrei iscrivermi all'Universit� . Partecipo a questo corso proprio per farmi un'idea/ambientarmi al linguaggio/contesto universitario e per aiutarmi in una sorte di orientamento.;Altro/Non Specificato
63;Vorrei iscrivermi ad un corso di laurea (su cui sono ancora indeciso) e in seguito trovare lavoro, anche in 'foreign countries' dove mettere alla prova le mie competenze d'inglese;Altro/Non Specificato
64;Vorrei frequentare l'Universit� . Molto probabilmente facolt� di ingegneria;Studi Scientifici
65;studiare per tutta la vita;Altro/Non Specificato
66;Vorrei intraprendere un percorso universitario nella facolt� di Matematica, arrivando magari al dottorato di ricerca. Parallelamente vorrei intraprendere una carriera musicale con la mia band. ;Studi Scientifici
67;ingegneria informatica;Studi Scientifici
68;Andare all'Universit� ;Altro/Non Specificato
69;Sono indecisa tra vari corsi di laurea come medicina, ingegneria gestionale ed economia;Studi Scientifici
70;Vorrei iscrivermi ad un corso di laurea scientifico, probabilmente fisica;Studi Scientifici
71;Vorrei iscrivermi all'Universit� ;Altro/Non Specificato
72;Sicurezza informatica;Studi Scientifici
73;criminologia, o scienze forensi ;Studi Umanistici
74;Vorrei o iscrivermi all'Universit� , anche se non so ancora bene in quale facolt� , oppure diventare un criminale.;Altro/Non Specificato
75;non lo so, completare il percorso di studio, non so quale, sento la pressione del tempo che passa, e delle scelte che dovr� fare. non voglio crescere. ;Altro/Non Specificato
76;Una volta diplomat* mi piacerebbe frequentare l'Universit� , al momento sono indecis* tra matematica e ingegneria ;Studi Scientifici
77;Andare iscriversi a biotecnologie o ingegneria meccatronica;Studi Scientifici
78;Vorrei seguire il corso di laurea in matematica o giurisprudenza...un dilemma;Altro/Non Specificato
79;Riuscire ad entrare nella facolt� di fisioterapia, se non ci resco........... mi ammazzo ;Studi Umanistici
80;non lo so ma sono propenso ad andare all'Universit� ;Altro/Non Specificato
81;Sicuramente vorrei iscrivermi all'Universit� anche se ho le idee ancora poco chiare sul corso da scegliere. l'obiettivo generalmente è quello di seguire qualcosa che mi appassiona;Altro/Non Specificato
82;Dopo il diploma mi piacerebbe frequentare l'Universit� di medicina e specializzarmi in chirurgia.;Scienze Mediche/Sanitarie
83;Dopo il diploma mi piacerebbe iniziare l'Universit� nel campo d'informatica applicata. In contemporanea vorrei approfondire le mie conoscenza in cybersecurity;Studi Scientifici
84;Ancora indecisa ;Altro/Non Specificato
85;Riuscire a diventare indipendente economicamente per permettermi di continuare a studiare nel lungo termine;Altro/Non Specificato
86;Dopo il diploma vorrei iscrivermi all'Universit� ;Altro/Non Specificato
87;fisica;Studi Scientifici
88;Vorrei fare Genetica, studiare le malattie geneticamente trasmissibili ;Studi Scientifici
89; Laurea di Matematica, magistrale in Mathematical Engineering e subito dopo andare a vivere sotto un confortevole ponte;Studi Scientifici
90;Non ho ancora ben chiaro cosa fare dopo il diploma, penso che sicuramente intraprendero' un corso di studi per poi, in futuro, laurearmi. ;Altro/Non Specificato
91;iscrivermi a medicina, seguire il mio sogno e diventare indipendente;Scienze Mediche/Sanitarie
92;Vorrei intraprendere gli studi presso la facolt� di psicologia.;Studi Umanistici
93;Al momento non sono ancora certo del mio futuro percorso di studi, pero' credo di avere una tendenza per l'ambito scientifico. Principalmente Biologia, Chimica e Informatica.;Studi Scientifici
94;Voglio provare ad entrare a Medicina (chiss� perche' sara' una delle parole piu' uscite) e in caso di fallimento ci riprovo, oppure vado alle Maldive a fare i massaggi;Scienze Mediche/Sanitarie
95;Mi piacerebbe fare medicina;Scienze Mediche/Sanitarie
96;Dopo il diploma vorrei intraprendere un nuovo perscorso , l'Universit� precisamente vorrei iscrivermi a medicina per concretizzare il mio sogno;Scienze Mediche/Sanitarie
97;Andare all' Universit� ;Altro/Non Specificato
98;dopo il diploma, mi iscriver� all'Universit� , sono ancora indeciso tra ingegneria robotica, o biologia marina.;Studi Scientifici
99;Vorrei provare il percorso di medicina e chirurgia. Mi ha sempre affascinata l'idea di lavorare negli ospedali e di poter salvare le persone, purtroppo afflitte da malattie gravi e, spesso, mortali.;Scienze Mediche/Sanitarie
100;Ricotta ;Altro/Non Specificato
101;frequentare la facolt� di medicina possibilmente non a Napoli nel caso riuscissi a conciliare anche una piccola occupazione allo studio;Scienze Mediche/Sanitarie
102;Universit� (probabilmente un corso di laurea del PLS);Studi Scientifici
103;Mi piacciono molto le materie scientifiche ma sono piu' propenso a scegliere il conservatorio, o magari se ne ho la possibilit� , fare entrambi.;Studi Scientifici
104;Cambio idea ogni mese. Sicuramente faro' qualcosa di chimica pke' e' la mia materia preferita oppure faccio i concorsi e mi laureo in giurisprudenza. Il pls mi sta motivando a scegliere una materia scien;Studi Scientifici
105;Informatica all'Universit� e programmatore nella vita;Studi Scientifici
106;Laurearmi in medicina e specializzarmi in ortopedia, segnatevi il mio nome Luca Umberto Angrisano;Scienze Mediche/Sanitarie
107;Medicina;Scienze Mediche/Sanitarie
108;Vorrei tentare medicina;Scienze Mediche/Sanitarie
109;medicina;Scienze Mediche/Sanitarie
110;Dopo il diploma vorrei frequentare l'Universit� , non ho scelto l'indirizzo ma sto valutando varie idee ;Altro/Non Specificato
111;vorrei frequentare l'Universit� , probabilmente mediazione linguistica, ma non sono sicura. Inoltre mi piacerebbe molto viaggiare;Studi Umanistici
112;Universit� , mi piacerebbe fare ingegneria meccanica.;Studi Scientifici
113;Universit� e diventare ricca;Altro/Non Specificato
114;Non ho ancora le idee chiare, tuttavia  sono sicura di voler iscrivermi all'Universit� e di frequentare un corso di laurea scientifico. ;Studi Scientifici
115;schifo;Altro/Non Specificato
116;la milionaria 😂;Altro/Non Specificato
117;Il mio piu' grande sogno e' fare l'antropologa forense, ma ho molta paura di non riuscirci e di fare la scelta sbagliata, perche' mi piacerebbe anche fare criminologia oppure fare la detective;Studi Umanistici
