Phase,H_team,A_team,H_goals,H_OnTarget,H_Corners,H_BallPossession,H_Distance,H_FoulsSuffered,H_Intensity,H_PassAccuracy,H_Diameter,H_Reciprocity,H_MANN,H_Q3HUB,A_goals,A_OnTarget,A_Corners,A_BallPossession,A_Distance,A_FoulsSuffered,A_Intensity,A_PassAccuracy,A_Diameter,A_Reciprocity,A_MANN,A_Q3HUB
G,Paris Saint-Germain,PFC Ludogorets Razgrad,2,6,19,0.59,104773,17,14.51428571,0.883248731,5,0.811320755,18.09,0.72169269,2,2,3,0.41,107704,10,12.16666667,0.816438356,6,0.72,17.83928571,0.641284081
G,FC Basel 1893,Arsenal FC,1,4,7,0.45,112463,13,12.03448276,0.867881549,6,0.729166667,15.74626866,0.607137415,4,7,2,0.55,111926,9,16.17142857,0.892647059,6,0.865384615,18.3963964,0.64253633
G,FC Dynamo Kyiv,Beşiktaş JK,6,13,1,0.53,107050,9,13.81818182,0.894444444,6,0.78,18.2,0.672107922,0,0,3,0.47,92284,12,13.20689655,0.877083333,7,0.76,25.09259259,0.674192633
G,SL Benfica,SSC Napoli,1,3,7,0.5,109995,7,13.55172414,0.865030675,6,0.829787234,15.27419355,0.860711373,2,7,2,0.5,109985,14,14.62068966,0.864503817,5,0.836734694,20,0.806768234
G,FC Barcelona,VfL Borussia Mönchengladbach,4,8,5,0.68,110200,5,17.52,0.91809909,9,0.795918367,17.25274725,0.842175431,0,0,2,0.32,112679,7,10.95652174,0.801675978,4,0.70212766,14.65306122,0.655916372
G,Manchester City FC,Celtic FC,1,2,8,0.55,107586,16,15.96774194,0.896853147,8,0.76,18.78651685,0.499393982,1,6,6,0.45,110693,7,13.34615385,0.864168618,5,0.659574468,15.79365079,0.581035465
G,FC Bayern München,Club Atlético de Madrid,1,4,6,0.67,112741,8,16.10869565,0.921279213,10,0.784313725,17.15217391,0.818163758,0,3,1,0.33,124029,11,9.727272727,0.805460751,5,0.688888889,15.72413793,0.725486057
G,PSV Eindhoven,FC Rostov,0,4,6,0.65,114689,7,12.95238095,0.840298507,8,0.823529412,22.56470588,0.544937057,0,3,1,0.35,122505,11,9.681818182,0.678018576,6,0.673913043,15.82758621,0.701645772
G,Bayer 04 Leverkusen,AS Monaco FC,3,6,7,0.5,107909,11,11.07407407,0.777239709,4,0.716981132,16.91803279,0.86007577,0,0,5,0.5,105151,18,11.48148148,0.79350348,7,0.8,16.08695652,0.707807316
G,Tottenham Hotspur FC,PFC CSKA Moskva,3,12,11,0.67,114292,15,13.5,0.901470588,9,0.86,18.16346154,0.595987382,1,3,1,0.33,110737,7,9.9,0.734265734,4,0.638297872,16.56410256,0.690302623
G,Real Madrid CF,Borussia Dortmund,2,8,6,0.48,108680,14,14.03448276,0.850806452,6,0.882352941,19.98387097,0.822294231,2,7,5,0.52,114003,9,14.3125,0.881932021,6,0.775510204,17.94366197,0.66125686
G,Legia Warszawa,Sporting Clube de Portugal,1,4,2,0.41,112868,14,10.12,0.802985075,5,0.66,16.42857143,0.622319877,0,5,7,0.59,112560,12,12.08333333,0.88057041,6,0.803921569,19.54285714,0.716661412
