Phase,H_team,A_team,H_goals,H_OnTarget,H_Corners,H_BallPossession,H_Distance,H_FoulsSuffered,H_Intensity,H_PassAccuracy,H_Diameter,H_Reciprocity,H_MANN,H_Q3HUB,A_goals,A_OnTarget,A_Corners,A_BallPossession,A_Distance,A_FoulsSuffered,A_Intensity,A_PassAccuracy,A_Diameter,A_Reciprocity,A_MANN,A_Q3HUB
G,PFC CSKA Moskva,AS Monaco FC,1,3,2,0.42,113332,14,10.03846154,0.779329609,7,0.622222222,13.53703704,0.854108671,1,6,8,0.58,112408,14,11.05714286,0.800383877,6,0.913043478,20.66666667,0.924639473
G,Bayer 04 Leverkusen,Tottenham Hotspur FC,0,6,5,0.44,110870,19,9.88,0.771676301,4,0.62745098,17.34146341,0.804004463,0,1,5,0.56,112528,15,11.5625,0.822033898,4,0.641509434,17.52777778,0.564207224
G,Sporting Clube de Portugal,Borussia Dortmund,1,5,2,0.42,110979,11,11.04,0.786666667,4,0.68,16.22,0.554133377,2,3,4,0.58,112192,10,11.2,0.83501006,4,0.826923077,19.88059701,0.687476213
G,Real Madrid CF,Legia Warszawa,5,11,9,0.56,109370,8,14.28571429,0.912605042,7,0.826923077,18.51807229,0.724019927,1,5,3,0.44,113678,10,11.59259259,0.852713178,6,0.739130435,14.25974026,0.72529608
G,Leicester City FC,FC København,1,2,3,0.46,110347,9,9.357142857,0.715425532,4,0.72,17.45098039,0.538021307,0,4,7,0.54,112732,8,11.75757576,0.827309237,5,0.679245283,14.91025641,0.639890296
G,Club Brugge KV,FC Porto,1,5,3,0.41,112280,9,12.2,0.823684211,5,0.68627451,17.37254902,0.703612873,2,8,8,0.59,110785,14,10.66666667,0.853413655,5,0.84,16.07317073,0.761756421
G,GNK Dinamo Zagreb,Sevilla FC,0,0,3,0.28,112974,13,6.722222222,0.736842105,10,0.425,12.4,0.580023413,1,5,5,0.72,115038,15,15.66666667,0.911164466,10,0.8,17.875,0.614207774
G,Olympique Lyonnais,Juventus Football Club,0,4,10,0.44,110568,7,11.59259259,0.860050891,5,0.78,17.38888889,0.763785767,1,5,4,0.56,108393,15,13.22857143,0.882352941,5,0.784313725,18.08045977,0.682802102
G,Arsenal FC,PFC Ludogorets Razgrad,6,12,6,0.43,107961,4,12.59259259,0.854166667,5,0.622641509,15.54237288,0.813726945,0,3,1,0.57,106677,11,15.11111111,0.908346972,8,0.816326531,17.52325581,0.726671425
G,Paris Saint-Germain,FC Basel 1893,3,6,3,0.64,108771,16,15.275,0.91316932,8,0.8125,22.76666667,0.883288697,0,1,5,0.36,111119,13,11.90909091,0.818991098,4,0.734693878,14.69767442,0.656656133
G,SSC Napoli,Beşiktaş JK,2,9,17,0.55,104385,14,15.36666667,0.879781421,8,0.770833333,16.93023256,0.783125886,3,3,1,0.45,99257,10,10.83333333,0.810810811,4,0.76,16.86,0.743914134
G,FC Dynamo Kyiv,SL Benfica,0,6,9,0.56,119520,15,11.02941176,0.862068966,5,0.72,19.45588235,0.552442671,2,5,1,0.44,119257,14,12.25925926,0.822384428,8,0.775,14.1754386,0.65920611
G,Celtic FC,VfL Borussia Mönchengladbach,0,1,4,0.58,110116,6,11.48717949,0.843373494,7,0.74,21.76470588,0.624138713,2,6,5,0.42,113242,9,14.88888889,0.815109344,6,0.826923077,17.92424242,0.84356106
G,FC Barcelona,Manchester City FC,4,8,3,0.54,101548,14,9.586206897,0.849604222,6,0.711111111,16.05,0.794497549,0,5,4,0.46,103324,15,11.68,0.827586207,5,0.795918367,16.42,0.823175639
G,FC Rostov,Club Atlético de Madrid,0,3,0,0.34,118381,5,9.476190476,0.669902913,5,0.5,15.88888889,0.620621415,1,6,5,0.66,117417,10,14.43902439,0.860199715,9,0.78,18.19130435,0.775547526
G,FC Bayern München,PSV Eindhoven,4,13,6,0.63,111973,5,16.46666667,0.962264151,7,0.884615385,19.51879699,0.865106238,1,4,0,0.37,110599,7,11.61538462,0.900277008,5,0.8,18.82758621,0.809995146
G,PFC Ludogorets Razgrad,Arsenal FC,2,4,4,0.46,106496,21,13.92592593,0.864253394,5,0.745098039,16.39726027,0.753442919,3,4,5,0.54,107538,9,15.36363636,0.880546075,7,0.725490196,17.82,0.77666979
G,FC Basel 1893,Paris Saint-Germain,1,2,3,0.36,106576,8,11.23809524,0.788990826,6,0.714285714,16.93181818,0.877319966,2,8,10,0.64,104899,12,15.13157895,0.918918919,6,0.74,18.77319588,0.733033263
G,Beşiktaş JK,SSC Napoli,1,2,3,0.49,109632,19,11.38709677,0.842572062,6,0.836734694,18.79245283,0.662049123,1,5,8,0.51,116372,7,14.15151515,0.873043478,6,0.826086957,15.65957447,0.837952109
G,SL Benfica,FC Dynamo Kyiv,1,4,5,0.5,107470,13,12.2962963,0.867830424,7,0.659090909,15,0.664127994,0,2,6,0.5,110143,15,11.25925926,0.845744681,5,0.717391304,18.6,0.533066994
G,VfL Borussia Mönchengladbach,Celtic FC,1,5,9,0.47,113835,11,14.09375,0.877126654,6,0.823529412,17,0.807341527,1,2,1,0.53,115381,10,13.44444444,0.893103448,7,0.729166667,19.16666667,0.730659144
G,Manchester City FC,FC Barcelona,3,4,5,0.4,111640,15,10.54545455,0.791390728,5,0.760869565,14.17647059,0.88531351,1,2,7,0.6,105997,15,13.85294118,0.886120996,6,0.788461538,16.74117647,0.794127051
